#Assembly	Genome Center name	RefSeq Accession.version	GenBank Accession.version	NCBI name
GeoFor_1.0	C12735694	NW_005081412.1	JH767002.1	GPS_002036980.1
GeoFor_1.0	C12735704	NW_005081383.1	JH766973.1	GPS_002036951.1
GeoFor_1.0	C12735748	NW_005081346.1	JH766936.1	GPS_002036914.1
GeoFor_1.0	C12735808	NW_005081367.1	JH766957.1	GPS_002036935.1
GeoFor_1.0	C12735816	NW_005081411.1	JH767001.1	GPS_002036979.1
GeoFor_1.0	C12735934	NW_005081354.1	JH766944.1	GPS_002036922.1
GeoFor_1.0	C12735954	NW_005081358.1	JH766948.1	GPS_002036926.1
GeoFor_1.0	C12736008	NW_005081417.1	JH767007.1	GPS_002036985.1
GeoFor_1.0	C12736108	NW_005081365.1	JH766955.1	GPS_002036933.1
GeoFor_1.0	C12736186	NW_005081430.1	JH767020.1	GPS_002036998.1
GeoFor_1.0	C12736196	NW_005081414.1	JH767004.1	GPS_002036982.1
GeoFor_1.0	C12736228	NW_005081402.1	JH766992.1	GPS_002036970.1
GeoFor_1.0	C12736252	NW_005081432.1	JH767022.1	GPS_002037000.1
GeoFor_1.0	C12736290	NW_005081362.1	JH766952.1	GPS_002036930.1
GeoFor_1.0	C12736292	NW_005081385.1	JH766975.1	GPS_002036953.1
GeoFor_1.0	C12736298	NW_005081386.1	JH766976.1	GPS_002036954.1
GeoFor_1.0	C12736308	NW_005081348.1	JH766938.1	GPS_002036916.1
GeoFor_1.0	C12736318	NW_005081382.1	JH766972.1	GPS_002036950.1
GeoFor_1.0	C12736332	NW_005081395.1	JH766985.1	GPS_002036963.1
GeoFor_1.0	C12736364	NW_005081369.1	JH766959.1	GPS_002036937.1
GeoFor_1.0	C12736370	NW_005081403.1	JH766993.1	GPS_002036971.1
GeoFor_1.0	C12736378	NW_005081423.1	JH767013.1	GPS_002036991.1
GeoFor_1.0	C12736380	NW_005081406.1	JH766996.1	GPS_002036974.1
GeoFor_1.0	C12736434	NW_005081437.1	JH767027.1	GPS_002037005.1
GeoFor_1.0	C12736450	NW_005081387.1	JH766977.1	GPS_002036955.1
GeoFor_1.0	C12736460	NW_005081353.1	JH766943.1	GPS_002036921.1
GeoFor_1.0	C12736466	NW_005081377.1	JH766967.1	GPS_002036945.1
GeoFor_1.0	C12736484	NW_005081372.1	JH766962.1	GPS_002036940.1
GeoFor_1.0	C12736496	NW_005081371.1	JH766961.1	GPS_002036939.1
GeoFor_1.0	C12736502	NW_005081378.1	JH766968.1	GPS_002036946.1
GeoFor_1.0	C12736506	NW_005081384.1	JH766974.1	GPS_002036952.1
GeoFor_1.0	C12736536	NW_005081410.1	JH767000.1	GPS_002036978.1
GeoFor_1.0	C12736554	NW_005081374.1	JH766964.1	GPS_002036942.1
GeoFor_1.0	C12736560	NW_005081416.1	JH767006.1	GPS_002036984.1
GeoFor_1.0	C12736682	NW_005081281.1	JH766871.1	GPS_002036849.1
GeoFor_1.0	C12736720	NW_005081316.1	JH766906.1	GPS_002036884.1
GeoFor_1.0	C12736738	NW_005081257.1	JH766847.1	GPS_002036825.1
GeoFor_1.0	C12736814	NW_005081298.1	JH766888.1	GPS_002036866.1
GeoFor_1.0	C12736826	NW_005081259.1	JH766849.1	GPS_002036827.1
GeoFor_1.0	C12736850	NW_005081342.1	JH766932.1	GPS_002036910.1
GeoFor_1.0	C12736864	NW_005081344.1	JH766934.1	GPS_002036912.1
GeoFor_1.0	C12736934	NW_005081337.1	JH766927.1	GPS_002036905.1
GeoFor_1.0	C12736946	NW_005081248.1	JH766838.1	GPS_002036816.1
GeoFor_1.0	C12736948	NW_005081332.1	JH766922.1	GPS_002036900.1
GeoFor_1.0	C12737098	NW_005081251.1	JH766841.1	GPS_002036819.1
GeoFor_1.0	C12737144	NW_005081321.1	JH766911.1	GPS_002036889.1
GeoFor_1.0	C12737150	NW_005081318.1	JH766908.1	GPS_002036886.1
GeoFor_1.0	C12737200	NW_005081282.1	JH766872.1	GPS_002036850.1
GeoFor_1.0	C12737208	NW_005081295.1	JH766885.1	GPS_002036863.1
GeoFor_1.0	C12737302	NW_005081336.1	JH766926.1	GPS_002036904.1
GeoFor_1.0	C12737304	NW_005081299.1	JH766889.1	GPS_002036867.1
GeoFor_1.0	C12737316	NW_005081309.1	JH766899.1	GPS_002036877.1
GeoFor_1.0	C12737336	NW_005081339.1	JH766929.1	GPS_002036907.1
GeoFor_1.0	C12737344	NW_005081283.1	JH766873.1	GPS_002036851.1
GeoFor_1.0	C12737370	NW_005081327.1	JH766917.1	GPS_002036895.1
GeoFor_1.0	C12737374	NW_005081310.1	JH766900.1	GPS_002036878.1
GeoFor_1.0	C12737380	NW_005081276.1	JH766866.1	GPS_002036844.1
GeoFor_1.0	C12737390	NW_005081343.1	JH766933.1	GPS_002036911.1
GeoFor_1.0	C12737406	NW_005081284.1	JH766874.1	GPS_002036852.1
GeoFor_1.0	C12737430	NW_005081326.1	JH766916.1	GPS_002036894.1
GeoFor_1.0	C12737448	NW_005081260.1	JH766850.1	GPS_002036828.1
GeoFor_1.0	C12737468	NW_005081258.1	JH766848.1	GPS_002036826.1
GeoFor_1.0	C12737472	NW_005081335.1	JH766925.1	GPS_002036903.1
GeoFor_1.0	C12737474	NW_005081247.1	JH766837.1	GPS_002036815.1
GeoFor_1.0	C12737548	NW_005081330.1	JH766920.1	GPS_002036898.1
GeoFor_1.0	C12737550	NW_005081268.1	JH766858.1	GPS_002036836.1
GeoFor_1.0	C12737556	NW_005081333.1	JH766923.1	GPS_002036901.1
GeoFor_1.0	C12737558	NW_005081313.1	JH766903.1	GPS_002036881.1
GeoFor_1.0	C12737596	NW_005081252.1	JH766842.1	GPS_002036820.1
GeoFor_1.0	C12737600	NW_005081277.1	JH766867.1	GPS_002036845.1
GeoFor_1.0	C12737610	NW_005081244.1	JH766834.1	GPS_002036812.1
GeoFor_1.0	C12737624	NW_005081275.1	JH766865.1	GPS_002036843.1
GeoFor_1.0	C12737626	NW_005081311.1	JH766901.1	GPS_002036879.1
GeoFor_1.0	C12737646	NW_005081286.1	JH766876.1	GPS_002036854.1
GeoFor_1.0	C12737666	NW_005081293.1	JH766883.1	GPS_002036861.1
GeoFor_1.0	C12737676	NW_005081240.1	JH766830.1	GPS_002036808.1
GeoFor_1.0	C12737768	NW_005081254.1	JH766844.1	GPS_002036822.1
GeoFor_1.0	C12737830	NW_005081290.1	JH766880.1	GPS_002036858.1
GeoFor_1.0	C12737852	NW_005081279.1	JH766869.1	GPS_002036847.1
GeoFor_1.0	C12737898	NW_005081261.1	JH766851.1	GPS_002036829.1
GeoFor_1.0	C12737944	NW_005081280.1	JH766870.1	GPS_002036848.1
GeoFor_1.0	C12737956	NW_005081289.1	JH766879.1	GPS_002036857.1
GeoFor_1.0	C12737972	NW_005081249.1	JH766839.1	GPS_002036817.1
GeoFor_1.0	C12737988	NW_005081301.1	JH766891.1	GPS_002036869.1
GeoFor_1.0	C12738000	NW_005081297.1	JH766887.1	GPS_002036865.1
GeoFor_1.0	C12738002	NW_005081241.1	JH766831.1	GPS_002036809.1
GeoFor_1.0	C12738006	NW_005081253.1	JH766843.1	GPS_002036821.1
GeoFor_1.0	C12738030	NW_005081271.1	JH766861.1	GPS_002036839.1
GeoFor_1.0	C12738064	NW_005081269.1	JH766859.1	GPS_002036837.1
GeoFor_1.0	C12738070	NW_005081307.1	JH766897.1	GPS_002036875.1
GeoFor_1.0	C12738078	NW_005081256.1	JH766846.1	GPS_002036824.1
GeoFor_1.0	C12738128	NW_005081287.1	JH766877.1	GPS_002036855.1
GeoFor_1.0	C12738192	NW_005081274.1	JH766864.1	GPS_002036842.1
GeoFor_1.0	C12738206	NW_005081262.1	JH766852.1	GPS_002036830.1
GeoFor_1.0	C12738210	NW_005081341.1	JH766931.1	GPS_002036909.1
GeoFor_1.0	C12738240	NW_005081302.1	JH766892.1	GPS_002036870.1
GeoFor_1.0	C12738266	NW_005081285.1	JH766875.1	GPS_002036853.1
GeoFor_1.0	C12738288	NW_005081255.1	JH766845.1	GPS_002036823.1
GeoFor_1.0	C12738296	NW_005081273.1	JH766863.1	GPS_002036841.1
GeoFor_1.0	C12738316	NW_005081329.1	JH766919.1	GPS_002036897.1
GeoFor_1.0	C12738324	NW_005081328.1	JH766918.1	GPS_002036896.1
GeoFor_1.0	C12738368	NW_005081300.1	JH766890.1	GPS_002036868.1
GeoFor_1.0	C12738382	NW_005081303.1	JH766893.1	GPS_002036871.1
GeoFor_1.0	C12738402	NW_005081263.1	JH766853.1	GPS_002036831.1
GeoFor_1.0	C12738446	NW_005081340.1	JH766930.1	GPS_002036908.1
GeoFor_1.0	C12738486	NW_005081265.1	JH766855.1	GPS_002036833.1
GeoFor_1.0	C12738526	NW_005081324.1	JH766914.1	GPS_002036892.1
GeoFor_1.0	C12738528	NW_005081267.1	JH766857.1	GPS_002036835.1
GeoFor_1.0	C12738538	NW_005081291.1	JH766881.1	GPS_002036859.1
GeoFor_1.0	C12738542	NW_005081296.1	JH766886.1	GPS_002036864.1
GeoFor_1.0	C12738556	NW_005081272.1	JH766862.1	GPS_002036840.1
GeoFor_1.0	C12738564	NW_005081314.1	JH766904.1	GPS_002036882.1
GeoFor_1.0	C12738572	NW_005081312.1	JH766902.1	GPS_002036880.1
GeoFor_1.0	C12738638	NW_005081242.1	JH766832.1	GPS_002036810.1
GeoFor_1.0	C12738640	NW_005081345.1	JH766935.1	GPS_002036913.1
GeoFor_1.0	C12738646	NW_005081338.1	JH766928.1	GPS_002036906.1
GeoFor_1.0	C12738680	NW_005081315.1	JH766905.1	GPS_002036883.1
GeoFor_1.0	C12738682	NW_005081264.1	JH766854.1	GPS_002036832.1
GeoFor_1.0	C12738684	NW_005081334.1	JH766924.1	GPS_002036902.1
GeoFor_1.0	C12738710	NW_005081270.1	JH766860.1	GPS_002036838.1
GeoFor_1.0	C12738746	NW_005081245.1	JH766835.1	GPS_002036813.1
GeoFor_1.0	C12738762	NW_005081317.1	JH766907.1	GPS_002036885.1
GeoFor_1.0	C12738778	NW_005081320.1	JH766910.1	GPS_002036888.1
GeoFor_1.0	C12738796	NW_005081325.1	JH766915.1	GPS_002036893.1
GeoFor_1.0	C12738818	NW_005081308.1	JH766898.1	GPS_002036876.1
GeoFor_1.0	C12738862	NW_005081331.1	JH766921.1	GPS_002036899.1
GeoFor_1.0	C12738876	NW_005081322.1	JH766912.1	GPS_002036890.1
GeoFor_1.0	C12738882	NW_005081319.1	JH766909.1	GPS_002036887.1
GeoFor_1.0	C12738940	NW_005081233.1	JH766823.1	GPS_002036801.1
GeoFor_1.0	C12738988	NW_005081180.1	JH766770.1	GPS_002036748.1
GeoFor_1.0	C12739002	NW_005081178.1	JH766768.1	GPS_002036746.1
GeoFor_1.0	C12739020	NW_005081127.1	JH766717.1	GPS_002036695.1
GeoFor_1.0	C12739024	NW_005081235.1	JH766825.1	GPS_002036803.1
